,ntraj,x,y,z,subvol,time,boxface,temp,sal,density,density10,ntrajc
21,22,482.0,6.5,9.5,97348076.77,0.0,2,-1.75,33.51,26.84,0.02,142848141
21,22,486.0,21.5,9.5,110545575.14,0.0,2,-1.78,33.74,27.03,0.01,144284981
21,22,489.0,23.5,9.5,112431192.78,0.0,2,-1.77,33.82,27.09,0.01,145730156
21,22,490.0,23.5,9.5,112431192.78,0.0,2,-1.77,33.81,27.09,0.01,147174614
21,22,493.0,28.5,9.5,117282345.36,0.0,2,-1.77,33.84,27.11,0.01,148614377
21,22,497.0,2.5,10.5,107732752.87,0.0,2,-1.81,33.15,26.56,0.08,150055804
21,22,501.0,364.25,9.5,662156251.49,0.0,2,18.96,35.63,25.39,0.02,151499902
21,22,503.0,7.5,9.5,98178137.57,0.0,2,-1.77,33.53,26.86,0.01,152931671
21,22,506.0,11.5,9.5,101567626.02,0.0,2,-1.76,33.54,26.87,0.01,154343732
21,22,509.0,12.5,9.5,102432592.51,0.0,2,-1.76,33.57,26.89,0.01,155746686
21,22,513.0,9.5,9.5,99858909.61,0.0,2,-1.76,33.43,26.78,0.02,157152309
21,22,516.0,4.5,9.5,95708393.91,0.0,2,-1.74,33.44,26.79,0.03,158551428
21,22,519.0,358.75,8.5,564721363.77,0.0,2,17.82,35.26,25.39,0.01,159947947
21,22,522.0,356.25,8.5,559347817.07,0.0,2,17.49,35.16,25.39,0.01,161340859
21,22,524.0,357.25,8.5,562035674.48,0.0,2,17.6,35.19,25.39,0.01,162730866
21,22,526.0,356.75,8.5,559347817.07,0.0,2,17.5,35.14,25.38,0.01,164121380
21,22,530.0,356.75,8.5,559347817.07,0.0,2,17.64,35.25,25.42,0.01,165507348
21,22,533.0,358.25,8.5,564721363.77,0.0,2,17.74,35.28,25.42,0.01,166890176
21,22,536.0,32.5,9.5,121308218.15,0.0,2,-1.78,33.7,26.99,0.01,168268529
21,22,540.0,28.5,9.5,117282345.36,0.0,2,-1.78,33.7,27.0,0.01,169645734
21,22,541.0,33.5,9.5,122335343.11,0.0,2,-1.76,33.85,27.12,0.02,171020486
21,22,544.0,32.5,9.5,121308218.15,0.0,2,-1.78,33.73,27.02,0.01,172391751
21,22,547.0,16.5,9.5,105964471.95,0.0,2,-1.79,33.51,26.84,0.01,173755911
21,22,551.0,21.5,9.5,110545575.14,0.0,2,-1.79,33.44,26.79,0.02,175109067
21,22,555.0,24.5,9.5,113385639.5,0.0,2,-1.79,33.46,26.8,0.04,176464900
21,22,558.0,25.5,9.5,114347913.76,0.0,2,-1.79,33.4,26.75,0.03,177812399
21,22,559.0,362.75,8.5,575438060.66,0.0,2,18.35,35.29,25.28,0.01,179146278
21,22,563.0,394.75,8.5,657955696.76,0.0,2,22.73,35.7,24.41,0.01,180465926
21,22,565.0,392.75,8.5,653052462.59,0.0,2,22.45,35.67,24.47,0.01,181773653
21,22,570.0,368.75,8.5,591409942.77,0.0,2,19.13,35.55,25.28,0.02,183088204
21,22,572.0,370.75,8.5,596698805.87,0.0,2,19.76,35.66,25.2,0.01,184408395
21,22,575.0,359.75,8.5,567404633.75,0.0,2,17.99,35.15,25.27,0.02,185725182
21,22,579.0,357.75,8.5,562035674.48,0.0,2,17.82,35.09,25.26,0.01,187041694
21,22,581.0,357.25,8.5,562035674.48,0.0,2,17.77,35.07,25.26,0.02,188357943
21,22,583.0,135.5,8.5,249025531.04,0.0,2,-1.06,33.51,26.82,0.01,189676858
21,22,588.0,354.75,8.5,553966782.04,0.0,2,17.51,34.99,25.26,0.01,190997759
21,22,591.0,357.75,8.5,562035674.48,0.0,2,17.93,35.1,25.24,0.02,192312423
21,22,592.0,356.25,8.5,559347817.07,0.0,2,17.8,35.03,25.22,0.02,193621462
21,22,597.0,350.25,8.5,543188633.27,0.0,2,17.11,34.75,25.17,0.01,194929184
1301225,22,598.0,359.25,8.5,567404633.75,0.0,2,18.14,35.14,25.22,0.02,196230388
