,ntraj,x,y,z,subvol,time,boxface,temp,sal,density,density10,ntrajc,binnedx_i,binnedy_i,bin_depth_i
1437744,630495,1437.0,299.21,57.5,9758875217.33,-31104000.0,2,1.89,34.78,27.8,1.46,359161138,1437,299,58
1437745,630496,1437.0,299.35,57.5,9758875217.33,-31104000.0,2,1.89,34.78,27.8,1.46,359161139,1437,299,58
1437746,630497,1437.0,299.5,57.5,9758875217.33,-31104000.0,2,1.89,34.78,27.8,1.46,359161140,1437,300,58
1437747,630498,1437.0,299.64,57.5,9758875217.33,-31104000.0,2,1.89,34.78,27.8,1.46,359161141,1437,300,58
1437748,630499,1437.0,299.78,57.5,9758875217.33,-31104000.0,2,1.89,34.78,27.8,1.46,359161142,1437,300,58
1437749,630500,1437.0,299.92,57.5,9758875217.33,-31104000.0,2,1.89,34.78,27.8,1.46,359161143,1437,300,58
1437750,630501,1437.0,299.07,58.5,9988582454.07,-31104000.0,2,1.77,34.77,27.81,1.47,359161144,1437,299,59
1437751,630502,1437.0,299.21,58.5,9988582454.07,-31104000.0,2,1.77,34.77,27.81,1.47,359161145,1437,299,59
1437752,630503,1437.0,299.35,58.5,9988582454.07,-31104000.0,2,1.77,34.77,27.81,1.47,359161146,1437,299,59
1437753,630504,1437.0,299.5,58.5,9988582454.07,-31104000.0,2,1.77,34.77,27.81,1.47,359161147,1437,300,59
1437754,630505,1437.0,299.64,58.5,9988582454.07,-31104000.0,2,1.77,34.77,27.81,1.47,359161148,1437,300,59
1437755,630506,1437.0,299.78,58.5,9988582454.07,-31104000.0,2,1.77,34.77,27.81,1.47,359161149,1437,300,59
1437756,630507,1437.0,299.92,58.5,9988582454.07,-31104000.0,2,1.77,34.77,27.81,1.47,359161150,1437,300,59
1437757,630508,1437.0,299.12,59.75,8920306380.24,-31104000.0,2,1.6,34.77,27.82,1.47,359161151,1437,299,60
1437758,630509,1437.0,299.12,59.25,8920306380.24,-31104000.0,2,1.6,34.77,27.82,1.47,359161152,1437,299,59
1437759,630510,1437.0,299.37,59.75,8920306380.24,-31104000.0,2,1.6,34.77,27.82,1.47,359161153,1437,299,60
1437760,630511,1437.0,299.37,59.25,8920306380.24,-31104000.0,2,1.6,34.77,27.82,1.47,359161154,1437,299,59
1437761,630512,1437.0,299.62,59.75,8920306380.24,-31104000.0,2,1.6,34.77,27.82,1.47,359161155,1437,300,60
1437762,630513,1437.0,299.62,59.25,8920306380.24,-31104000.0,2,1.6,34.77,27.82,1.47,359161156,1437,300,59
1437763,630514,1437.0,299.87,59.75,8920306380.24,-31104000.0,2,1.6,34.77,27.82,1.47,359161157,1437,300,60
1437764,630515,1437.0,299.87,59.25,8920306380.24,-31104000.0,2,1.6,34.77,27.82,1.47,359161158,1437,300,59
1437765,630516,1437.0,299.12,60.75,9081134176.95,-31104000.0,2,1.33,34.75,27.82,1.48,359161159,1437,299,61
1437766,630517,1437.0,299.12,60.25,9081134176.95,-31104000.0,2,1.33,34.75,27.82,1.48,359161160,1437,299,60
1437767,630518,1437.0,299.37,60.75,9081134176.95,-31104000.0,2,1.33,34.75,27.82,1.48,359161161,1437,299,61
1437768,630519,1437.0,299.37,60.25,9081134176.95,-31104000.0,2,1.33,34.75,27.82,1.48,359161162,1437,299,60
1437769,630520,1437.0,299.62,60.75,9081134176.95,-31104000.0,2,1.33,34.75,27.82,1.48,359161163,1437,300,61
1437770,630521,1437.0,299.62,60.25,9081134176.95,-31104000.0,2,1.33,34.75,27.82,1.48,359161164,1437,300,60
1437771,630522,1437.0,299.87,60.75,9081134176.95,-31104000.0,2,1.33,34.75,27.82,1.48,359161165,1437,300,61
1437772,630523,1437.0,299.87,60.25,9081134176.95,-31104000.0,2,1.33,34.75,27.82,1.48,359161166,1437,300,60
1437773,630524,1437.0,299.12,61.75,9223878099.05,-31104000.0,1,1.11,34.74,27.83,1.49,359161167,1437,299,62
1437774,630525,1437.0,299.12,61.25,9223878099.05,-31104000.0,1,1.11,34.74,27.83,1.49,359161168,1437,299,61
1437775,630526,1437.0,299.37,61.75,9223878099.05,-31104000.0,1,1.11,34.74,27.83,1.49,359161169,1437,299,62
1437776,630527,1437.0,299.37,61.25,9223878099.05,-31104000.0,1,1.11,34.74,27.83,1.49,359161170,1437,299,61
1437777,630528,1437.0,299.62,61.75,9223878099.05,-31104000.0,1,1.11,34.74,27.83,1.49,359161171,1437,300,62
